Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"A1"	,"RP2040-Zero_RP2040-Zero"	,"RP2040-Zero:RP2040-Zero"	,"5078.7mil"	,"-1683.8mil"	,"5078.7mil"	,"-1653.5mil"	,"5439.3mil"	,"-1253.5mil"	,"T"	,"0"	,"Yes"	,"RP2040-Zero_RP2040-Zero"	,
"H1"	,"Mechanical_MountingHole"	,"MountingHole:MountingHole_6.4mm_M6"	,"1850.4mil"	,"-1456.7mil"	,"1850.4mil"	,"-1456.7mil"	,"1850.4mil"	,"-1456.7mil"	,"T"	,"0"	,"No"	,"Mechanical_MountingHole"	,
"H2"	,"Mechanical_MountingHole"	,"MountingHole:MountingHole_6.4mm_M6"	,"5905.5mil"	,"-1456.7mil"	,"5905.5mil"	,"-1456.7mil"	,"5905.5mil"	,"-1456.7mil"	,"T"	,"0"	,"No"	,"Mechanical_MountingHole"	,
"H3"	,"Mechanical_MountingHole"	,"MountingHole:MountingHole_6.4mm_M6"	,"9566.9mil"	,"-1456.7mil"	,"9566.9mil"	,"-1456.7mil"	,"9566.9mil"	,"-1456.7mil"	,"T"	,"0"	,"No"	,"Mechanical_MountingHole"	,
"H4"	,"Mechanical_MountingHole"	,"MountingHole:MountingHole_6.4mm_M6"	,"1850.4mil"	,"-5629.9mil"	,"1850.4mil"	,"-5629.9mil"	,"1850.4mil"	,"-5629.9mil"	,"T"	,"0"	,"No"	,"Mechanical_MountingHole"	,
"H5"	,"Mechanical_MountingHole"	,"MountingHole:MountingHole_6.4mm_M6"	,"9566.9mil"	,"-5629.9mil"	,"9566.9mil"	,"-5629.9mil"	,"9566.9mil"	,"-5629.9mil"	,"T"	,"0"	,"No"	,"Mechanical_MountingHole"	,
"H6"	,"Mechanical_MountingHole"	,"MountingHole:MountingHole_6.4mm_M6"	,"5255.9mil"	,"-3070.9mil"	,"5255.9mil"	,"-3070.9mil"	,"5255.9mil"	,"-3070.9mil"	,"T"	,"0"	,"No"	,"Mechanical_MountingHole"	,
"LED1"	,"WS2812B-2020"	,"LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020"	,"2290mil"	,"-2375mil"	,"2290mil"	,"-2375mil"	,"2268.3mil"	,"-2411mil"	,"T"	,"90"	,"Yes"	,"WS2812B-2020"	,
"LED2"	,"WS2812B-2020"	,"LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020"	,"3440mil"	,"-2380mil"	,"3440mil"	,"-2380mil"	,"3418.3mil"	,"-2416mil"	,"T"	,"90"	,"Yes"	,"WS2812B-2020"	,
"LED3"	,"WS2812B-2020"	,"LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020"	,"4485mil"	,"-2825mil"	,"4485mil"	,"-2825mil"	,"4463.3mil"	,"-2861mil"	,"T"	,"90"	,"Yes"	,"WS2812B-2020"	,
"LED4"	,"WS2812B-2020"	,"LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020"	,"5175mil"	,"-4915mil"	,"5175mil"	,"-4915mil"	,"5153.3mil"	,"-4951mil"	,"T"	,"90"	,"Yes"	,"WS2812B-2020"	,
